那些只听前奏就中毒的英文歌,流行-欧美-快乐,介绍：地铁，公交，上班途中，回家路上，一首前奏放松心情,393万,193354032,16,10365
Hiphop-高质｜欧美拽酷范 高质量嘻哈rap,欧美-说唱-流行,介绍：（持更……）投稿或推荐，可评论区或私信如何评价一首高质rap，这首歌有层次感，低音下潜深，不轰头，声音较暖，有弹性，有结像力，底噪几乎没有，歌手录制患有轻度脚气，利用歌手换气声及时长判断，歌者心率过高早晨一定吃过油腻食物，我仿佛还从电流声中听到1322.1公里外田湾核电站AES-91型核电2号机组中热中子轰击铀235原子时富有弹性和力度的声响……就是一顿胡扯,107,14757,35,1
我听欧美民谣的美好时光,民谣-欧美-清新,介绍：我觉得爱情是一个很真实的东西，是生活中的点点滴滴，相濡以沫。是一个早安吻，是一个拥抱，是和谐的性，是相同的感受。到后来，爱就是适当又不尴尬的平静，是一个老习惯，不经意就发生了。,17万,8873158,137,939
巴洛克流行 I 摇滚和古典的美妙结合,欧美-摇滚,介绍：巴洛克流行（Baroque Pop）在60年代中期出现，这是一个包括LeftBanke，theBeachBoys，制片人PhilSpector和作曲家BurtBacharach在内的艺术家开始把古典音乐的基本元素注入摇滚的时期，用以达到一个宏伟的管弦乐声响效果有别于与单纯摇滚那种原始的狂热。分层的协调，排列和喇叭是所有巴洛克流行的特点，具有强烈音乐戏剧性的，生动的特点。特点：双簧管、大键盘、弦乐。巴洛克流行在音乐史上如同流行一般闪过，如今知晓的人也不太多了。不过这种大胆且美妙的尝试，在当时具有划时代的影响。最重要的是，好听，好听就完事了。代表乐队：Bee Gees，Nick Drake，the Beach Boys，Scott Walker，The Beatles感谢@山河暮归，对本歌单的诸多帮助。,13493,975457,41,115
【毒】开口沉醉，迷失于这女声,欧美-电子-另类/独立,介绍：有一种女声，可以很独特；有一种鼓点，可以很鲜明；有一种旋律，可以很迷幻。当这种鼓点遇上这种女声，再配上这种旋律，你只需要静静戴上耳机享受就行了，一定要戴耳机~PS：此单20首歌都由20个比较冷门的歌手演唱，当你觉得此歌好听可以去听听此歌手的其他作品，肯定不会让你失望的~,32万,16494499,19,1296
欧美R&B||沉浸于丝滑复古的灵魂旋律.,欧美-R&B/Soul-浪漫,介绍：欢迎搭乘这班「Soul Train」人们往往容易对怀旧事物 产生积极而浓烈的情绪。 只因丝滑复古乐深入人心，让我们不知不觉中沉溺在浪漫梦幻的氛围，肆意享受无尽的欢愉和听觉盛宴。,10280,1027818,133,65
评论过万的英文歌与潜力股,欧美-流行-榜单,介绍：听听评论过万的，为评论未过万的潜力股加分……,246万,144627008,112,6173
【民谣盛宴】100首必听欧美民谣,欧美-民谣-乡村,介绍：民谣是什么？民谣是一壶酒我有一壶酒，足以慰风尘。民谣是什么？民谣是一朵花，你若是盛开，清风自会来。喜欢民谣，民谣像是一位说书人，不紧不慢的讲述曾经那动人的故事。现在，就让我们来倾听欧美的民谣故事吧！,61万,32393484,100,3284
『阿卡贝拉』换种方式演绎欧美热单,欧美-流行-翻唱,介绍：歌单收录了近几年一些热单的纯人声翻唱，单主是一首一首仔细听的，选出了我认为演绎的最好的，如果有什么建议，可以在评论区里告诉我。P.S 歌单封面为郭斯特的小狐狸✨,15万,7186756,47,1493
R&B｜当代年轻人的耳机旋律,欧美-R&B/Soul-治愈,介绍：我接到这世界节日的请柬，我的生命受了祝福。我的眼睛看见了美丽的景象，我的耳朵也听见了醉人的音乐。——《吉檀迦利》泰戈尔节奏布鲁斯(英语:Rhythmand Blues，简称:R&B或 RnB，意为节奏蓝调)，布鲁斯与爵士乐，是R&B的重要组成部分。蓝调又是自由无约束的音乐风格，他们相融构成了节奏感浓重，却又无拘无束可以随意变化不失优美。现代节奏布鲁斯：编制特征包含电音形式录音制作的风格、类比鼓机制式节奏。以及一种较为柔和、圆浑丰厚的歌声。虽然其多与黑人灵歌那更富激越而情感高亢的音乐类别所互通，然则两者实互有不可或缺的重合元素。,76359,4243559,60,128
钢琴前奏｜清新静谧的舒适体验,欧美-流行-钢琴,介绍：钢琴前奏，深情人声，总会唤醒内心深处的点滴温存，化作感动氲氤飘散。Some of us get dipped in flat， some in satin， some in gloss. But every once in a while you find someone who's iridescent， and when you do， nothing will ever compare.世界上所有信仰都是平等的，万物都将归于过往。所有人都会被理解，不会被孤立排斥。2017.12.27／长期更新,14万,9608860,303,525
